DayNight,Organism,Background_filter,Transient_filter,log2_timepoint_bottleneck,xic_filter,All_filters,one_s_ttest
Day,CCA,13843,10605,8817,4172,536,60
Day,Dictyota,13843,10605,8817,4918,1366,233
Day,Pocillopora verrucosa,13843,10605,8817,4285,908,262
Day,Porites lobata,13843,10605,8817,4155,546,120
Day,Turf,13843,10605,8817,3775,468,73
Day,Water control,13843,10605,8817,3728,0,0
Night,CCA,13843,10605,9130,3879,455,113
Night,Dictyota,13843,10605,9130,4578,927,122
Night,Pocillopora verrucosa,13843,10605,9130,4652,1037,257
Night,Porites lobata,13843,10605,9130,3971,421,159
Night,Turf,13843,10605,9130,3877,407,96
Night,Water control,13843,10605,9130,3576,0,0
